dt=50;dt=150;dt=700;dt=2000
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
-0.137530139;0;0;0
-0.142449172;0;0;0
-0.146754489;0;0;0
-0.135193787;0;0;0
-0.128960428;0;0;0
-0.135640379;0;0;0
-0.142818182;0;0;0
-0.171303525;0;0;0
-0.145136479;0;0;0
-0.113447048;0;0;0
-0.097102955;0;0;0
-0.119093515;0;0;0
-0.11739882;0;0;0
-0.147566778;0;0;0
-0.144303592;0;0;0
-0.081879099;0;0;0
-0.117198891;0;0;0
-0.128188604;0;0;0
-0.126369076;0;0;0
-0.169898871;0;0;0
-0.19195032;0;0;0
-0.12801629;0;0;0
-0.125052973;0;0;0
-0.109071234;0;0;0
-0.107153749;0;0;0
-0.122740035;0;0;0
-0.16899595;0;0;0
-0.172700273;0;0;0
-0.180805526;0;0;0
-0.174941672;0;0;0
-0.142672675;0;0;0
-0.147100413;0;0;0
-0.103025786;0;0;0
-0.092008745;0;0;0
-0.108893967;0;0;0
-0.138903309;0;0;0
-0.116983173;0;0;0
-0.120710397;0;0;0
-0.113197961;0;0;0
-0.074108035;0;0;0
-0.086709727;0;0;0
-0.075144376;0;0;0
-0.063068346;0;0;0
-0.117285826;0;0;0
-0.099324998;0;0;0
-0.068876827;0;0;0
-0.033039815;0;0;0
-0.010399011;0;0;0
0.03098964;0;0;0
0.051566661;0;0;0
0.053879707;0;0;0
0.072063402;0;0;0
0.105360287;0;0;0
0.089068976;0;0;0
0.047735364;0;0;0
0.05445935;0;0;0
0.102843077;0;0;0
0.14983841;0;0;0
0.13130624;0;0;0
0.12105202;0;0;0
0.102279111;0;0;0
0.10731153;0;0;0
