voltage,motion,temperature,sound,voc,illuminace,humidity,timestamp
6.77,218,24.33,57.75,31,538.92,32.14,2021-10-23T12:08:40.803384
6.47,218,24.33,57.75,31,538.92,32.14,2021-10-23T12:08:41.655927
6.47,218,24.33,57.75,31,538.92,32.14,2021-10-23T12:08:41.685193
6.47,218,24.31,57.75,31,538.92,32.14,2021-10-23T12:08:41.824988
6.47,218,24.31,57.75,31,538.92,32.14,2021-10-23T12:08:41.831830
6.47,218,24.31,55.49,31,538.92,32.14,2021-10-23T12:08:42.019175
6.47,218,24.31,55.49,31,538.92,32.14,2021-10-23T12:08:42.031260
6.47,218,24.31,55.49,31,538.14,32.14,2021-10-23T12:08:42.065016
6.47,218,24.31,55.49,34,538.14,32.14,2021-10-23T12:08:42.089565
6.47,218,24.31,55.49,34,538.14,32.14,2021-10-23T12:08:42.103844
6.47,218,24.31,55.49,34,538.14,32.14,2021-10-23T12:08:42.113558
6.47,171,24.31,55.49,34,538.14,32.14,2021-10-23T12:08:42.305821
6.47,171,24.31,55.49,34,538.14,32.14,2021-10-23T12:08:42.355333
6.47,171,24.31,62.3,34,538.14,32.14,2021-10-23T12:08:43.018504
6.47,171,24.31,62.3,34,538.53,32.14,2021-10-23T12:08:43.023727
6.47,145,24.31,62.3,34,538.53,32.14,2021-10-23T12:08:43.058766
6.47,145,24.31,62.3,34,538.53,32.14,2021-10-23T12:08:43.073479
6.47,145,24.31,62.3,34,538.53,32.14,2021-10-23T12:08:43.113098
6.47,145,24.31,62.3,34,538.53,32.14,2021-10-23T12:08:43.160807
6.47,145,24.33,62.3,34,538.53,32.14,2021-10-23T12:08:43.180080
6.47,145,24.33,62.3,34,538.53,32.14,2021-10-23T12:08:43.233103
6.75,145,24.33,62.3,34,538.53,32.14,2021-10-23T12:08:43.268625
6.75,145,24.33,62.3,34,538.53,32.14,2021-10-23T12:08:43.309110
6.75,145,24.33,55.76,34,538.53,32.14,2021-10-23T12:08:44.506762
6.75,145,24.33,55.76,34,538.53,32.14,2021-10-23T12:08:44.533721
6.75,145,24.33,55.76,34,538.92,32.14,2021-10-23T12:08:44.542738
6.75,145,24.33,55.76,30,538.92,32.14,2021-10-23T12:08:44.557800
6.75,145,24.33,55.76,30,538.92,32.14,2021-10-23T12:08:44.563691
6.75,145,24.33,55.76,30,538.92,32.14,2021-10-23T12:08:44.568654
6.75,264,24.33,55.76,30,538.92,32.14,2021-10-23T12:08:44.618106
6.75,264,24.33,55.76,30,538.92,32.14,2021-10-23T12:08:44.625266
6.62,264,24.33,55.76,30,538.92,32.14,2021-10-23T12:08:45.031207
6.62,264,24.33,55.76,30,538.92,32.14,2021-10-23T12:08:45.068480
